Code,Name,Lat,Lon,region1,region2
ABT,Al-Baha Al Aqiq,20.295279,41.634445,Saudi Arabia,Saudi Arabia
ABU,Atambua Haliwen,-9.333333,124.9,Indonesia,Indonesia
ABV,Abuja International Airport ,9.006389,7.263055,Nigeria,Nigeria
ABW,Abau,-10.161666,148.690914,Papua New Guinea,Papua New Guinea
ABX,Albury Airport ,-36.067802,146.956081,Australia,Australia
ABY,Dougherty County ,31.53264,-84.18884,United States,United States
ABZ,Aberdeen-Dyce airport ,57.200557,-2.204032,United Kingdom,United Kingdom
ACA,Juan Alvarez Int'l airport ,16.760277,-99.756278,Mexico,Mexico
ACB,Bellaire Antrim Cty,44.988542,-85.19836,United States,United States
ACC,Kotoka ,5.6,-0.1666,Ghana,Ghana
ACD,Acandi,8.516667,-77.3,Colombia,Colombia
ACE,Lanzarote Airport ,,,Spain,Spain
ACH,Altenrhein Airport ,47.486188,9.560895,Switzerland,Switzerland
ACI,Alderney Blaye,52.390518,-1.804159,United Kingdom,United Kingdom
ACK,Memorial ,41.25305,-70.06018,United States,United States
ACL,Aguaclara,4.75,-73,Colombia,Colombia
ACM,Arica,,,Colombia,Colombia
ACN,Ciudad Acuna International,,,Mexico,Mexico
ACO,Ascona,46.159444,8.766667,Switzerland,Switzerland
ACP,Sahand Airport,37.34861,46.126945,Iran,Iran
ACR,Araracuara,-0.59937,-72.398646,Colombia,Colombia
ACS,Achinsk,,,Russian Federation,Russian Federation
ACT,Waco Regional Airport ,31.611289,-97.23052,United States,United States
ACU,Achutupo,8.433333,-77.966667,Panama,Panama
ACV,Eureka-Arcata ,40.971209,-124.106678,United States,United States
ACX,Xingyi Airport,,,China,China
ACY,Atlantic City Intl ,39.453878,-74.57581,United States,United States
ACZ,Zabol Aiport,31.087778,61.548889,Iran,Iran
ADA,Adana Airport ,36.985774,35.289926,Turkey,Turkey
ADB,Adnan Menderes Arpt ,38.28612,27.156635,Turkey,Turkey
ADD,Bole ,8.9833,38.8,Ethiopia,Ethiopia
ADE,Aden,12.8333,45.0333,Yemen,Yemen
ADF,Adiyaman,37.730848,38.469078,Turkey,Turkey
ADG,Adrian Lenawee,,,United States,United States
ADH,Aldan,,,Russian Federation,Russian Federation
ADI,Arandis,-22.462223,14.98,Namibia,Namibia
ADJ,Marka International Airport,31.9666,35.9833,Jordan,Jordan
ADK,Adak Island NS ,51.88139,-176.646667,United States,United States
ADL,Adelaide Airport ,-34.93726,138.53916,Australia,Australia
ADM,Ardmore Municipal,34.306165,-97.017934,United States,United States
ADN,Andes,5.666667,-75.883333,Colombia,Colombia
ADO,Andamooka,-30.437227,137.138248,Australia,Australia
ADP,Anuradhapura,8.301361,80.426498,Sri Lanka,Sri Lanka
ADQ,Kodiak Airport ,,,United States,United States
ADR,Andrews,33.451668,-79.526108,United States,United States
ADS,Dallas Addison Airport,32.973706,-96.837581,United States,United States
ADT,Ada Municipal,39.839246,-101.04092,United States,United States
ADU,Ardabil,38.3316,48.4316,Iran,Iran
ADV,Andover,,,United Kingdom,United Kingdom
ADW,Camp Springs Andrews,,,United States,United States
ADX,Aktyubinsk,56.376022,-2.872126,United Kingdom,United Kingdom
ADY,Alldays,-22.679167,29.055,South Africa,South Africa
ADZ,San Andres Island Airport ,12.578853,-81.708147,Colombia,Colombia
AEA,Abemama,0.483333,173.85,Kiribati,Kiribati
AED,Aleneva Airport,,,United States,United States
AEG,Aek Godang,1.399439,99.432025,Indonesia,Indonesia
AEH,Abeche,13.847,20.844334,Chad,Chad
AEI,Algeciras Airport ,36.127602,-5.45265,Spain,Spain
AEK,Aseki,-7.366667,146.283333,Papua New Guinea,Papua New Guinea
AEL,Albert Lea,43.681323,-93.367383,United States,United States
AEO,Aioun El Atrouss,,,Mauritania,Mauritania
AEP,Arpt. Jorge Newbery ,-34.575892,-58.429646,Argentina,Argentina
AER,Adler-Sochi Airport ,,,Russian Federation,Russian Federation
AES,Vigra ,62.560983,6.111614,Norway,Norway
AET,Allakaket,40.570676,-77.551364,United States,United States
AEX,Alexandria Internation ,31.321078,-92.538719,United States,United States
AEY,Akureyri,65.662343,-18.070091,Iceland,Iceland
AFA,San Rafael,-34.596591,-68.39019,Argentina,Argentina
AFD,Port Alfred,,,South Africa,South Africa
AFF,Colorado Springs Usaf Academy,38.969429,-104.821072,United States,United States
AFI,Amalfi,6.916667,-75.066667,Colombia,Colombia
AFL,Alta Floresta,-9.869722,-56.106388,Brazil,Brazil
AFN,Jaffrey Municipal,42.805471,-72.003418,United States,United States
AFO,Afton,42.713612,-110.93972,United States,United States
AFR,Afore,,,Papua New Guinea,Papua New Guinea
AFS,Zarafshan,,,Uzbekistan,Uzbekistan
AFT,Afutara Aerodrome,,,Solomon Islands,Solomon Islands
AFW,Dallas Fort Worth Alliance,32.989675,-97.314793,United States,United States
AFY,Afyon,38.728889,30.599722,Turkey,Turkey
AFZ,Sabzevar,,,Iran,Iran
AGA,Agadir Almassira ,30.3833,-9.55,Morocco,Morocco
AGB,Muehlhausen ,48.428612,10.930833,Germany,Germany
AGC,Pittsburgh Allegheny,40.352599,-79.926935,United States,United States
AGD,Anggi,-1.383333,133.866667,Indonesia,Indonesia
AGE,Wangerooge,,,Germany,Germany
AGF,La Garenne ,44.174386,0.592814,France,France
AGG,Angoram,-4.066667,144.1,Papua New Guinea,Papua New Guinea
AGH,Angelholm Airport ,56.297441,12.855127,Sweden,Sweden
AGI,Wageningen,5.766667,-56.683333,Suriname,Suriname
AGJ,Aguni,,,Japan,Japan
AGK,Kagua,-6.333333,143.833333,Papua New Guinea,Papua New Guinea
AGL,Wanigela,-9.333333,149.15,Papua New Guinea,Papua New Guinea
AGM,Angmagssalik,65.663008,-37.661734,Greenland,Greenland
AGN,Angoon Seaplane Base,57.503555,-134.585098,United States,United States
AGO,Magnolia Municipal,33.229096,-93.217057,United States,United States
AGP,Malaga Airport ,36.675117,-4.490524,Spain,Spain
AGQ,Agrinion,,,Greece,Greece
AGR,Kheria ,,,India,India
AGS,Bush Field ,33.373676,-81.97266,United States,United States
AGT,Ciudad Del Este Garcia,,,Paraguay,Paraguay
AGU,Aguascalientes Airport ,21.7055,-102.318,Mexico,Mexico
AGV,Acarigua,9.551945,-69.236664,Venezuela,Venezuela
AGW,Agnew,-12.146979,142.149217,Australia,Australia
AGX,Agatti Island,10.823575,72.175564,India,India
AGY,Argyle Downs,,,Australia,Australia
AGZ,Aggeneys,-29.283501,18.816999,South Africa,South Africa
AHA,Naha Air-Force Base,,,Japan,Japan
AHB,Abha Airport,18.2333,42.65,Saudi Arabia,Saudi Arabia
AHD,Ardmore Downtown,34.146011,-97.119312,United States,United States
AHE,Ahe Airport,-14.491134,-146.311111,French Polynesia,French Polynesia
AHH,Amery,45.280745,-92.373114,United States,United States
AHI,Amahai,-3.331744,128.918317,Indonesia,Indonesia
AHL,Aishalton,2.483333,-59.316667,Guyana,Guyana
AHN,Athens Airport ,33.948598,-83.326349,United States,United States
AHO,Fertilia airport ,40.638889,8.290833,Italy,Italy
AHS,Ahuas,15.468611,-84.352501,Honduras,Honduras
AHT,Amchitka,51.378899,179.258301,United States,United States
AHU,Charif Al Idrissi ,35.1777,-3.8462,Morocco,Morocco
AHY,Ambatolahy,-20.0117,45.5218,Madagascar,Madagascar
AHZ,Alpe D'Huez,45.083333,6.083333,France,France
AIA,Alliance Airport ,42.049348,-102.803019,United States,United States
AIB,Anita Bay,56.23551,-132.39032,United States,United States
AIC,Airok,,,Marshall Islands,Marshall Islands
AIE,Aiome,-5.133333,144.733333,Papua New Guinea,Papua New Guinea
AIF,Assis,,,Brazil,Brazil
AIG,Yalinga,6.5,23.2667,Central African Republic,Central African Republic
AII,Ali Sabieh,11.15,42.7166,Djibouti,Djibouti
AIK,Aiken,33.65089,-81.687229,United States,United States
AIL,Ailigandi,9.21468,-78.025967,Panama,Panama
AIM,Ailuk,10.211121,169.98692,Marshall Islands,Marshall Islands
AIN,Wainwright,32.110031,-111.018363,United States,United States
AIO,Atlantic Municipal,41.400274,-95.048201,United States,United States
AIP,Ailinglapalap,7.276729,168.816904,Marshall Islands,Marshall Islands
AIR,Aripuana,-10.25,-59.383333,Brazil,Brazil
AIS,Arorae Island,-2.633333,176.816667,Kiribati,Kiribati
AIT,Aitutaki,,,Cook Islands,Cook Islands
AIU,Atiu,-20.02233,-158.109395,Cook Islands,Cook Islands
AIV,Aliceville Downer,33.106945,-88.19722,United States,United States
AIY,Atlantic City Bader,35.814153,-81.046954,United States,United States
AIZ,Lake Of The Ozarks,,,United States,United States
AJA,Campo Dell Oro ,41.92142,8.795282,France,France
AJF,Jouf,29.7833,40.1,Saudi Arabia,Saudi Arabia
AJI,Agri,39.654824,43.026053,Turkey,Turkey
AJJ,Akjoujt,19.733333,-14.383333,Mauritania,Mauritania
AJL,Aizawl,23.736666,92.805275,India,India
AJN,Anjouan (Ouani),-12.126,44.4252,Comoros,Comoros
AJO,Aljouf,15.716667,44.25,Yemen,Yemen
AJR,Arvidsjaur Airport ,,,Sweden,Sweden
AJS,Abreojos,26.733333,-113.583333,Mexico,Mexico
AJU,Aracaju Airport ,-10.983583,-37.06636,Brazil,Brazil
AJY,Agades,16.9666,7.9833,Niger,Niger
AKA,Ankang,32.702621,108.911797,China,China
AKB,Atka Airport,52.221111,-174.210831,United States,United States
AKD,Akola,20.698889,77.055832,India,India
AKE,Akieni,-1.148889,13.9175,Gabon,Gabon
AKF,Kufrah,24.1853,23.315,Libya,Libya
AKG,Anguganak,-3.583333,142.25,Papua New Guinea,Papua New Guinea
AKI,Akiak,60.904812,-161.22702,United States,United States
AKJ,Asahikawa Airport ,,,Japan,Japan
AKK,Akhiok,56.93869,-154.182556,United States,United States
AKL,Auckland Airport ,-37.00477,174.78267,New Zealand,New Zealand
AKM,Zakouma,10.8833,19.8167,Chad,Chad
AKN,King Salmon Airport ,58.676799,-156.649222,United States,United States
AKO,Akron Washington,40.172085,-103.215889,United States,United States
AKP,Anaktuvuk Pass Airport,,,United States,United States
AKQ,Astraksetra Gunung,-4.616667,105.233333,Indonesia,Indonesia
AKR,Akure,7.258683,5.30345,Nigeria,Nigeria
AKS,Auki Gwaunaru'U,-8.705,160.683884,Solomon Islands,Solomon Islands
AKU,Aksu,41.17099,80.198196,China,China
AKV,Akulivik,60.818611,-78.148614,Canada,Canada
AKX,Aktyubinsk,50.245834,57.206112,Kazakhstan,Kazakhstan
AKY,Sittwe Civil,20.1319,92.8791,Myanmar,Myanmar
ALA,Almaty Airport ,43.352222,77.040001,Kazakhstan,Kazakhstan
ALB,Albany International ,42.748119,-73.80298,United States,United States
ALC,Alicante Airport ,38.283726,-0.560269,Spain,Spain
ALD,Alerta,,,Peru,Peru
ALE,Alpine,30.382615,-103.683726,United States,United States
ALF,Alta Airport ,69.977288,23.361824,Norway,Norway
ALG,Houari Boumediene ,36.6988,3.2229,Algeria,Algeria
ALH,Albany,-34.943611,117.809166,Australia,Australia
ALI,Alice Intl,27.738038,-98.026072,United States,United States
ALJ,Alexander Bay,-28.5664,16.5347,South Africa,South Africa
ALK,Asela,7.9833,39.1333,Ethiopia,Ethiopia
ALL,Albenga/Villanova,44.04853,8.128177,Italy,Italy
ALM,Alamogordo,32.839686,-105.987562,United States,United States
ALN,Alton,,,United States,United States
ALO,Waterloo Airport ,42.557078,-92.40035,United States,United States
ALP,Aleppo International Airport,36.1833,37.2333,Syria,Syria
ALQ,Alegrete Federal,-29.8,-55.733333,Brazil,Brazil
ALR,Alexandra,-45.209988,169.371652,New Zealand,New Zealand
ALS,Alamosa Municipal Airport ,37.435442,-105.863091,United States,United States
ALT,Alenquer,-1.938889,-54.747222,Brazil,Brazil
ALU,Alula,11.883333,50.666667,Somalia,Somalia
ALV,Andorra La Vella H-P ,,,Andorra,Andorra
ALW,Walla Walla Airport ,46.087809,-118.285537,United States,United States
ALX,Alexander City Russell,32.914205,-85.964572,United States,United States
ALY,El Nohza ,31.1846,29.9511,Egypt,Egypt
ALZ,Alitak Spb,56.895607,-154.246536,United States,United States
AMA,Amarillo International Airport ,35.219034,-101.705232,United States,United States
AMB,Ambilobe,-13.1885,48.988083,Madagascar,Madagascar
AMC,Am Timan,11.033333,20.283333,Chad,Chad
AMD,Ahmedabad Airport ,23.076691,72.631195,India,India
AME,Alto Molocue,-15.65,37.683333,Mozambique,Mozambique
AMF,Ama,-4.166667,141.666667,Papua New Guinea,Papua New Guinea
AMG,Amboin,-4.6,143.5,Papua New Guinea,Papua New Guinea
AMH,Arba Mintch,6.039389,37.590453,Ethiopia,Ethiopia
AMI,Selaparang ,-8.56659,116.1,Indonesia,Indonesia
AMJ,Almenara,-16.167139,-40.684834,Brazil,Brazil
AMK,Durango Animas Airpark,37.203596,-107.867802,United States,United States
AML,Puerto Armuelles,,,Panama,Panama
AMM,Queen Alia Intl ,31.723612,35.995277,Jordan,Jordan
AMN,Alma Gratiot,43.321713,-84.690237,United States,United States
AMO,Mao,14.116667,15.316667,Chad,Chad
AMP,Ampanihy,-24.7,44.733333,Madagascar,Madagascar
AMQ,Pattimura ,-3.69999,128.0833,Indonesia,Indonesia
AMR,Arno,,,Marshall Islands,Marshall Islands
AMS,Amsterdam-Schiphol Airport ,52.325854,4.755466,Netherlands,Netherlands
AMT,Amata,-26.192523,131.128612,Australia,Australia
AMU,Amanab,-3.516667,141.25,Papua New Guinea,Papua New Guinea
AMV,Amderma,,,Russian Federation,Russian Federation
AMW,Ames,41.991524,-93.621194,United States,United States
AMX,Ammaroo,-21.739156,135.244036,Australia,Australia
AMY,Ambatomainty,-17.6833,45.6666,Madagascar,Madagascar
AMZ,Ardmore,-37.030862,174.973364,New Zealand,New Zealand
ANB,Anniston-AL,33.591764,-85.855567,United States,United States
ANC,Anchorage International Airport ,61.179602,-149.972138,United States,United States
AND,Anderson,45.685485,-111.257032,United States,United States
ANE,Marce ,47.56,0.312,France,France
ANF,Cerro Moreno ,-23.445833,-70.444725,Chile,Chile
ANG,Angouleme Bel Air,45.729196,0.220195,France,France
ANH,Anuha Island Resort,,,Solomon Islands,Solomon Islands
ANI,Aniak Airport,61.581587,-159.543043,United States,United States
ANJ,Zanaga,,,Republic of  Congo,Republic of  Congo
ANK,Ankara,39.949444,32.688889,Turkey,Turkey
ANL,Andulo,,,Angola,Angola
ANM,Antalaha Antsrabato,-15,50.321388,Madagascar,Madagascar
ANN,Annette Island,37.031269,-92.197523,United States,United States
ANO,Angoche,,,Mozambique,Mozambique
ANP,Annapolis Lee,38.942884,-76.568356,United States,United States
ANQ,Angola Steuben,41.640088,-85.083158,United States,United States
ANR,Deurne ,51.188469,4.462378,Belgium,Belgium
ANS,Andahuaylas,-13.708611,-73.351112,Peru,Peru
ANU,V.C. Bird Int'l airport ,,,Antigua and Barbuda,Antigua and Barbuda
ANV,Anvik,62.648582,-160.189896,United States,United States
ANW,Ainsworth,42.57545,-99.988286,United States,United States
ANX,Andenes Airport ,69.308768,16.123629,Norway,Norway
ANY,Anthony,37.158872,-98.080908,United States,United States
ANZ,Angas Downs,-25.083333,132.166667,Australia,Australia
AOA,Aroa,-9.033333,146.75,Papua New Guinea,Papua New Guinea
AOB,Annanberg,-4.916667,144.666667,Papua New Guinea,Papua New Guinea
AOC,Altenburg Nobitz ,,,Germany,Germany
AOD,Abou Deia,11.4521,19.2957,Chad,Chad
AOH,Lima Allen Cty,40.708887,-84.026478,United States,United States
AOI,Falconara ,43.615962,13.362047,Italy,Italy
AOJ,Aomori Airport ,,,Japan,Japan
AOK,Karpathos Airport ,35.420953,27.14772,Greece,Greece
AOL,Paso De Los Libres,-29.689425,-57.152078,Argentina,Argentina
AON,Arona,-6.25,145.966667,Papua New Guinea,Papua New Guinea
AOO,Altoona Airport ,40.295497,-78.319594,United States,United States
AOR,Alor Setar Halim,6.191999,100.395162,Malaysia,Malaysia
AOS,Amook,26.42888,-80.152846,United States,United States
AOT,Corrado Gex,45.738733,7.3679,Italy,Italy
AOU,Attopeu,14.8,106.8166,Laos,Laos
APA,Denver Arapahoe,39.578839,-104.84991,United States,United States
APB,Apolo,-14.732778,-68.412498,Bolivia,Bolivia
APC,Napa,38.215374,-122.279924,United States,United States
APE,San Juan Aposento,,,Peru,Peru
APF,Naples Airport ,26.14869,-81.774651,United States,United States
APH,Bowling Green Camp Hill,38.066799,-77.316368,United States,United States
API,Apiay,4.068889,-73.051944,Colombia,Colombia
APK,Apataki,,,French Polynesia,French Polynesia
APL,Nampula,-15.1,39.2833,Mozambique,Mozambique
APN,Alpena County Regional ,45.078069,-83.56029,United States,United States
APO,Apartado,7.033333,-77.2,Colombia,Colombia
APP,Asapa,-8.983333,148.133333,Papua New Guinea,Papua New Guinea
APQ,Arapiraca,-9.775358,-36.6292,Brazil,Brazil
APR,April River,-4.3,142.433333,Papua New Guinea,Papua New Guinea
APS,Anapolis,-16.361111,-48.925556,Brazil,Brazil
APT,Marion County Airport ,35.775016,-90.673497,United States,United States
APU,Apucarana,-23.612223,-51.384998,Brazil,Brazil
APV,Apple Valley,34.578378,-117.186071,United States,United States
APW,Faleolo ,,,Samoa,Samoa
APX,Arapongas,-23.352501,-51.491943,Brazil,Brazil
APY,Alto Parnaiba,-9.1,-45.966667,Brazil,Brazil
APZ,Zapala,-38.9755,-70.113581,Argentina,Argentina
AQA,Araraquara,,,Brazil,Brazil
AQG,Anqing,30.516667,117.033333,China,China
AQI,Qaisumah,28.3333,46.1333,Saudi Arabia,Saudi Arabia
AQJ,King Hussein Intl ,29.6136,35.018,Jordan,Jordan
AQM,Ariquemes,,,Brazil,Brazil
AQP,Rodriguez Ballon ,-16.337223,-71.568054,Peru,Peru
AQS,Saqani,-16.751353,179.359586,Fiji,Fiji
AQY,Alyeska,60.966095,-149.125793,United States,United States
ARB,Ann Arbor-MI,42.222059,-83.746616,United States,United States
ARC,Arctic Village,68.116081,-145.576111,United States,United States
ARD,Alor,-8.25,124.75,Indonesia,Indonesia
ARE,Arecibo,18.450277,-66.675835,Puerto Rico,Puerto Rico
ARF,Acaricuara,0.533333,-70.133333,Colombia,Colombia
ARG,Walnut Ridge,36.12055,-90.930417,United States,United States
ARH,Arkhangelsk Airport ,,,Russian Federation,Russian Federation
ARI,Chacalluta ,-18.34639,-70.33889,Chile,Chile
ARJ,Arso,,,Indonesia,Indonesia
ARK,Arusha Airport ,,,Tanzania,Tanzania
ARL,Arly,,,Burkina Faso,Burkina Faso
ARM,Armidale Airport ,-30.530835,151.617653,Australia,Australia
ARN,Arlanda ,59.65034,17.928743,Sweden,Sweden
ARO,Arboletas,,,Colombia,Colombia
ARP,Aragip,-9.9,149.466667,Papua New Guinea,Papua New Guinea
ARQ,Arauquita,7.024505,-71.432482,Colombia,Colombia
ARR,Alto Rio Senguerr,-45.015803,-70.801975,Argentina,Argentina
ARS,Aragarcas,-15.893056,-52.229416,Brazil,Brazil
ART,Watertown Airport ,43.990414,-76.019804,United States,United States
ARU,Aracatuba,-21.141342,-50.424722,Brazil,Brazil
ARV,Minocqua Noble Lee,45.932161,-89.727846,United States,United States
ARW,Arad,46.177502,21.262777,Romania,Romania
ARX,Asbury Pk/Monmouth Co,43.749329,-91.389732,United States,United States
ARY,Ararat,-37.312575,142.989788,Australia,Australia
ARZ,N'Zeto Ambrizete,,,Angola,Angola
ASA,Assab,,,Ethiopia,Ethiopia
ASB,Ashgabat Airport ,37.9833,58.3666,Turkmenistan,Turkmenistan
ASC,Ascension,,,Bolivia,Bolivia
ASD,Andros Town Airport ,24.69861,-77.796112,Bahamas,Bahamas
ASE,Aspen Airport ,39.22038,-106.865053,United States,United States
ASF,Astrakhan Airport ,,,Russian Federation,Russian Federation
ASG,Ashburton,-43.9,171.783333,New Zealand,New Zealand
ASH,Nashua,42.05031,-83.361386,United States,United States
ASI,Georgetown Wideawake,,,Saint Helena,Saint Helena
ASJ,Amami,28.431753,129.708204,Japan,Japan
ASK,Yamoussoukro Airport ,6.9,-5.3666,Ivory Coast,Ivory Coast
ASM,Asmara International ,,,Ethiopia,Ethiopia
ASN,Talladega,33.569538,-86.050079,United States,United States
ASO,Asosa,10.0666,34.5333,Ethiopia,Ethiopia
ASP,Alice Springs Airport ,-23.802019,133.892232,Australia,Australia
ASQ,Austin,39.468899,-117.196098,United States,United States
ASR,Kayseri Airport ,38.772067,35.497192,Turkey,Turkey
AST,Astoria,46.156974,-123.876909,United States,United States
ASU,Silvio Pettirossi ,-25.23656,-57.517045,Paraguay,Paraguay
ASV,Amboseli,-2.633333,37.25,Kenya,Kenya
ASW,Aswan Airport ,23.9717,32.8233,Egypt,Egypt
ASX,Ashland,46.547818,-90.916994,United States,United States
ASY,Ashley,46.023377,-99.353062,United States,United States
ATA,Anta Airport - Comandante FAP GermÃ¡n Arias Graziani,-9.347611,-77.598083,Peru,Peru
ATB,Atbara,,,Sudan,Sudan
ATC,Arthur'S Town,24.629723,-75.673615,Bahamas,Bahamas
ATD,Atoifi,-8.866667,161.033333,Solomon Islands,Solomon Islands
ATE,Antlers,34.192705,-95.649831,United States,United States
ATF,Ambato Chachoan,-1.212528,-78.574364,Ecuador,Ecuador
ATH,Eleftherios Venizelos airport ,37.936484,23.948922,Greece,Greece
ATI,Artigas,-30.400706,-56.507869,Uruguay,Uruguay
ATJ,Antsirabe,-19.831835,47.067336,Madagascar,Madagascar
ATK,Atqasuk Edward Burnell Sr Memorial Airport,70.467278,-157.43573,United States,United States
ATL,Hartsfield-Jackson Airport ,33.641143,-84.429281,United States,United States
ATM,Altamira,-3.253333,-52.253056,Brazil,Brazil
ATN,Namatanai,-3.67499,152.4375,Papua New Guinea,Papua New Guinea
ATO,Athens-OH,39.211969,-82.228641,United States,United States
ATP,Aitape,-3.14579,142.3458,Papua New Guinea,Papua New Guinea
ATQ,Raja Sansi ,31.706962,74.806933,India,India
ATR,Atar Mouakchott,20.5067,-13.0433,Mauritania,Mauritania
ATS,Artesia,32.853601,-104.466563,United States,United States
ATT,Atmautluak,34.804406,-106.825027,United States,United States
ATU,Attu Is.,52.828888,173.172775,United States,United States
ATV,Ati,13.233333,18.316667,Chad,Chad
ATW,Outagamie County ,44.260087,-88.511605,United States,United States
ATX,Atbasar,,,Kazakhstan,Kazakhstan
ATY,Watertown Airport ,44.922111,-97.160376,United States,United States
ATZ,Assiut,27.0505,31.0162,Egypt,Egypt
AUA,Reina Beatrix ,12.5006,-70.0122,Aruba,Aruba
AUB,"Itauba Airport, MT",,,Brazil,Brazil
AUC,Arauca,7.071111,-70.737221,Colombia,Colombia
AUD,Augustus Downs,-18.666667,139.933333,Australia,Australia
AUE,Abu Rudeis,28.8987,33.1951,Egypt,Egypt
AUG,Augusta Airport ,44.323071,-69.796356,United States,United States
AUH,Abu Dhabi Intl airport ,24.433766,54.648035,United Arab Emirates,United Arab Emirates
AUI,Aua,-1.461592,143.063842,Papua New Guinea,Papua New Guinea
AUJ,Ambunti,-4.25,142.85,Papua New Guinea,Papua New Guinea
AUK,Alakanuk Airport,62.680046,-164.659927,United States,United States
AUL,Aur,8.145513,171.176653,Marshall Islands,Marshall Islands
AUM,Austin,43.665169,-92.934849,United States,United States
AUN,Auburn,38.952815,-121.083683,United States,United States
AUO,Auburn/Opelika,32.614688,-85.431161,United States,United States
AUP,Agaun,-9.916667,149.333333,Papua New Guinea,Papua New Guinea
AUQ,Atuona,,,French Polynesia,French Polynesia
AUR,Aurillac,44.890946,2.423636,France,France
AUS,Austin-Bergstrom Airport ,30.1945,-97.6699,United States,United States
AUT,Atauro,,,Indonesia,Indonesia
AUU,Aurukun Mission,-13.355937,141.720224,Australia,Australia
AUW,Wausau Municipal,44.925633,-89.628256,United States,United States
AUX,Araguaina,,,Brazil,Brazil
AUY,Aneityum,,,Vanuatu,Vanuatu
AUZ,Aurora Municipal,,,United States,United States
AVB,Aviano,46.03389,12.601944,Italy,Italy
AVG,Auvergne,-15.75,129.916667,Australia,Australia
AVI,Ciego De Avila Gomes,22.027053,-78.789617,Cuba,Cuba
AVK,Arvaikheer,46.252472,102.799194,Mongolia,Mongolia
AVL,Asheville Regional Airport ,35.436203,-82.541807,United States,United States
AVN,Avignon-Caum ,45.913387,6.135031,France,France
AVO,Avon Park Municipal,27.591291,-81.528489,United States,United States
AVP,International ,41.335958,-75.728533,United States,United States
AVU,Avu Avu,-9.85,160.416667,Solomon Islands,Solomon Islands
AVV,Avalon ,-38.029663,144.474937,Australia,Australia
AVW,Tucson Avra Valley,32.405772,-111.218137,United States,United States
AVX,Catalina Is. Avalon Bay,33.402943,-118.41462,United States,United States
AWA,Awassa,,,Ethiopia,Ethiopia
AWB,Awaba,-8.016667,142.75,Papua New Guinea,Papua New Guinea
AWD,Aniwa,-19.27433,169.591686,Vanuatu,Vanuatu
AWE,Alowe,-0.75,9.45,Gabon,Gabon
AWH,Awareh,8.2667,44.1833,Ethiopia,Ethiopia
AWK,Wake Island,,,United States Minor Outlying Islands,United States Minor Outlying Islands
AWM,West Memphis Municipal,35.135064,-90.233838,United States,United States
AWN,Alton Downs,-26.483333,139.316667,Australia,Australia
AWP,Austral Downs,-20.333333,137.25,Australia,Australia
AWR,Awar,-4.12499,144.85,Papua New Guinea,Papua New Guinea
AWZ,Ahwaz,31.336666,48.759724,Iran,Iran
AXA,Wallblake ,18.211111,-63.056946,Anguilla,Anguilla
AXB,Alexandria Bay,44.2525,-75.901389,United States,United States
AXC,Aramac,,,Australia,Australia
AXD,Demokritos Airport ,40.855251,25.954584,Greece,Greece
AXG,Algona,,,United States,United States
